pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,ttc,yaw_diff,yaw_rate,prediction,anomaly_score
10300754_10300768,2025-06-01 00:36:55.147958040,6,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T00:36:55Z,1,2.285899080336094,4.9635634,0.95375204,6.309323948365126,5.2042494,0.22381163,-1.3796652092487212,-1,-0.14714459939460528
10316232_10316242,2025-06-01 01:20:13.549045086,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T01:20:13Z,1,0.0583091136068105,4.5153008,0.38561106,-0.7325367338496651,11.709469,0.11190581,-3.516241108059472,-1,-0.04611841183347615
10357605_10357619,2025-06-01 03:38:30.955446959,6,6,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T03:38:30Z,1,0.1047192744910717,7.0126143,0.4707268,1.6949789176400516,14.897419,1.3428698,11.754304358860278,-1,-0.016244863573439516
10416378_10416384,2025-06-01 06:07:57.958944082,4,6,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T06:07:57Z,1,1.7133601903915403,5.6604786,2.4025116,2.5581604483244296,2.3560672,2.9095511,3.536698149491586,-1,-0.07726134651770517
10447298_10447774,2025-06-01 07:13:28.741955042,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T07:13:28Z,1,0.2175956343611081,7.379236,1.119499,-1.0754130855852897,6.5915527,2.461928,121.51875020238964,-1,-0.03557415212262599
10522986_10523003,2025-06-01 09:11:18.278129101,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:11:18Z,1,0.1029567538450161,4.425875,1.2218266,3.3867790622352154,3.6223433,0.8952465,-0.4679821643823792,-1,-0.03683112171844899
10570796_10570831,2025-06-01 10:21:09.134397030,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T10:21:09Z,1,0.684257984161377,7.4897103,2.3665617,-0.2793604916039806,3.1648068,41.18134,-11.824537289435444,-1,-0.06156629950597553
10575002_10575552,2025-06-01 10:27:31.062079906,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T10:27:31Z,1,1.064554250240326,6.7747135,2.7914224,-1.1654036248069084,2.4269755,9.511994,-26.602514090392816,-1,-0.04806990438696862
10582896_10583138,2025-06-01 10:38:29.054655075,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T10:38:29Z,1,0.3659964367747307,6.982819,2.6606014,-11.3419518065003,2.6245265,77.74657,-23.31027855283084,-1,-0.20177804850600017
10617362_10617371,2025-06-01 11:28:35.221554041,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T11:28:35Z,1,0.0336388607198993,3.9206629,0.3345819,0.5529456660680249,11.718096,1.6785872,-7.313007489134623,-1,-0.07161138343679779
10631265_10632035,2025-06-01 11:47:05.271728039,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T11:47:05Z,1,1.085298202931881,7.7146373,3.3242028,-4.062698360330428,2.320748,9.400088,-6.5285569034860735,-1,-0.06797225673226343
10639282_10639332,2025-06-01 11:55:59.174642086,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T11:55:59Z,1,0.5636452287435532,5.3914413,1.9890939,0.6537926514841299,2.7105012,10.742958,8.354601914459966,-1,-0.045274776912542836
10659383_10659408,2025-06-01 12:17:27.923067093,6,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T12:17:27Z,1,0.2166444510221481,5.128744,0.4666227,-3.5231334816920588,10.991201,0.8952465,-2.091961592616732,-1,-0.07567314312422807
10689426_10689452,2025-06-01 13:00:44.064927101,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T13:00:44Z,1,0.6910054186979929,6.18965,1.6007499,-2.8612545318792013,3.866719,31.893156,164.06819888985314,-1,-0.14115268957087684
10718058_10718064,2025-06-01 13:35:26.606961012,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T13:35:26Z,1,0.0499070823192596,4.7291446,0.5442146,-0.383602834993366,8.689853,5.5952907,27.31141150852293,-1,-0.052010880666064685
10722456_10722943,2025-06-01 13:41:09.653028965,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T13:41:09Z,1,7.39690097173055,7.5157714,4.141253,-4.673307541526315,1.8148544,4.4762325,-4.950035208802419,-1,-0.1967719573654882
10730723_10730740,2025-06-01 13:48:40.682617903,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T13:48:40Z,1,0.0279252599924802,4.7344847,0.3909189,0.0062659378605824,12.111168,1.3428698,-0.8591024390004799,-1,-0.02588729046404975
10733945_10733953,2025-06-01 13:52:52.324692965,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T13:52:52Z,1,0.0532367557287216,5.476785,0.39793652,1.095741829533154,13.762961,0.33571744,2.8723884908618933,-1,-0.02818995426200649
10748137_10748277,2025-06-01 14:11:02.542202950,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T14:11:02Z,1,0.0387978454430898,6.728282,0.6781712,-0.6770582143582354,9.921214,23.891891,24.989094983067982,-1,-0.0017194913465072292
10751579_10751793,2025-06-01 14:15:33.924623966,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T14:15:33Z,1,1.3240845373698644,7.2836637,2.6528559,1.393863265625927,2.7455935,0.22381163,-8.38489340394896,-1,-0.016633122885283902
10751793_10751835,2025-06-01 14:15:36.478697062,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T14:15:36Z,1,1.7672752857208252,7.8055596,3.467948,-1.75668069722928,2.2507718,1.4547756,-0.9991868007794672,-1,-0.057196635140558894
10760765_10760798,2025-06-01 14:25:57.357301950,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T14:25:57Z,1,0.0213967512051264,7.0987806,0.53215635,0.2231356578158847,13.339652,23.27641,24.4495127760884,-1,-0.03800013845745226
10801441_10803625,2025-06-01 15:17:40.319001913,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T15:17:40Z,1,1.5941245555877686,7.0980334,3.1018944,-1.0551322983472289,2.2882898,28.70384,1142.856360320126,-1,-0.22521157780956497
10822329_10822360,2025-06-01 15:46:11.641748905,6,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T15:46:11Z,1,0.1351229647795359,7.2807302,0.73410887,-4.976943518468108,9.91778,15.77872,49.59855121319483,-1,-0.07920168484774953
10847545_10847571,2025-06-01 16:20:29.870137930,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T16:20:29Z,1,0.4368781670928001,4.698433,1.4823564,1.6100174558955782,3.1695702,0.8952465,-7.615527136293807,-1,-0.051544589688972964
10850513_10850545,2025-06-01 16:24:38.819189072,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T16:24:38Z,1,0.0632975218817591,4.541348,0.34477314,2.202147630312865,13.1719885,0.7833407,8.359249053334581,-1,-0.09167240592887899
10863146_10863175,2025-06-01 16:42:38.267421961,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T16:42:38Z,1,6.508649428685506,7.2832656,3.9870517,-7.802323008562626,1.8267297,6.6024427,-132.58178417585216,-1,-0.23744428203274842
10878194_10878209,2025-06-01 17:01:05.672693968,6,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T17:01:05Z,1,0.3042761713266372,5.287741,1.3462789,-2.43868355985295,3.9276714,1.790493,-7.374264172035815,-1,-0.002600661710035812
10919454_10920133,2025-06-01 17:53:16.310997009,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T17:53:16Z,1,1.0589689711729686,6.51202,2.722009,-1.0982904478805855,2.392358,57.12792,-17.111375221266524,-1,-0.12269783719385136
10919844_10919852,2025-06-01 17:52:42.135366917,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T17:52:42Z,1,3.596146272867918,5.2575283,3.6840656,2.4463782312976674,1.4270996,1.3428698,-46.06498254125341,-1,-0.20099757589794925
10982426_10982445,2025-06-01 19:30:56.777153015,6,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T19:30:56Z,1,1.9742010951042173,5.7918873,2.6761887,15.432824553677134,2.1642299,2.6857395,-2.523267365714304,-1,-0.1423913294014611
10986019_10986291,2025-06-01 19:37:37.465095043,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T19:37:37Z,1,2.453844428062439,7.7407336,3.473244,0.2962916694192152,2.2286754,10.742958,6.896061946118514,-1,-0.07725829722939076
11000476_11000609,2025-06-01 20:06:04.466851950,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T20:06:04Z,1,0.0286496424426635,7.317661,0.59969944,0.0486833893045894,12.202214,37.15273,-11.642668664715492,-1,-0.02938835944176038
11005241_11006092,2025-06-01 20:16:54.622100115,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T20:16:54Z,1,0.9653920978307724,7.99942,2.9346876,-1.1166217516389303,2.7258165,9.623899,-1.9934551802586729,-1,-0.004784758465780581
11007650_11007736,2025-06-01 20:20:07.376116037,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T20:20:07Z,1,15.434332529703775,7.370033,6.1770864,0.3894897194550146,1.1931244,170.33464,20.72387683992676,-1,-0.31889112675426096
11010050_11010123,2025-06-01 20:25:57.560561895,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T20:25:57Z,1,0.1466708183288574,6.820354,1.2034913,-0.2392490859070923,5.66714,33.34793,16.98972261509232,-1,-0.014693184959485461
11012084_11012323,2025-06-01 20:32:21.872181892,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T20:32:21Z,1,0.1749983131885528,6.987523,1.4212284,-1.584610810018206,4.916538,31.683332,-46.67732545757041,-1,-0.052342848225190475
