Date,Lanes,Crosswalks,Total
2025-07-10,1,7,8
2025-07-11,0,2,2
2025-08-01,0,2,2
2025-08-02,0,4,4
2025-08-03,0,1,1
2025-08-05,4,13,17
2025-08-08,0,3,3
2025-08-10,0,3,3
2025-08-11,2,7,9
2025-08-14,1,12,13
2025-08-22,0,0,0
2025-08-23,0,9,9
2025-08-24,0,1,1
2025-08-25,1,18,19
2025-08-26,2,14,16
2025-08-27,1,14,15
2025-08-28,2,26,28
2025-08-29,3,31,34
2025-08-30,0,8,8
2025-08-31,0,4,4
2025-09-01,0,15,15
2025-09-02,3,15,18
2025-09-03,3,32,35
2025-09-04,4,34,38
2025-09-05,2,32,34
2025-09-06,0,15,15
2025-09-07,1,21,22
2025-09-08,1,23,24
2025-09-09,2,20,22
2025-09-10,0,30,30
2025-09-11,0,24,24